Article DOI,Phage Name,Phage Genome Accession/Bioproject,Phage Genome size (bp),Phage GC content (%),Phage TEM shows structural similarity with,Phage TEM dimensions/Capsid morphology,Phage Taxonomy,Phage type: Lytic/ Lysogenic/ Engineered,Place of Sample collection,Phage isolation Sample,Host Bacterial Species,Experimental / Challenge Host,Phage's Plaque characteristics/Shape,Optimal MOI,Latent period (min),Burst size (phage/infected bacterium),Optimal Temperature (°C),Optimal pH
"10.3389/fmicb.2023.1240570","Sfin-2","MK972831","50,390 bp","44.90%","T1-like phages","isometric head (64.90 ± 2.04 nm) and a non-contractile tail (145 ± 8.5 nm)","Siphoviridae family, Caudovirales order","lytic","Ganga river, near Barrackpore, North 24 Parganas district and Sreerampore, Hoogly district, West Bengal, India","environmental water samples","Shigella flexneri","Shigella flexneri 2a","clear distinct plaques ranging from 1.3 to 1.9 mm in diameter with well-defined boundaries","0.1","~7 min","105 PFU/cell","37°C","7.0"
"10.3389/fmicb.2023.1240570","Sfin-2","MK972831","50,390 bp","44.90%","T1-like phages","isometric head (64.90 ± 2.04 nm) and a non-contractile tail (145 ± 8.5 nm)","Siphoviridae family, Caudovirales order","lytic","Ganga river, near Barrackpore, North 24 Parganas district and Sreerampore, Hoogly district, West Bengal, India","environmental water samples","Shigella dysenteriae","Shigella dysenteriae 1","clear distinct plaques ranging from 1.3 to 1.9 mm in diameter with well-defined boundaries","0.1","~5 min","74 PFU/cell","37°C","7.0"
"10.3389/fmicb.2023.1240570","Sfin-2","MK972831","50,390 bp","44.90%","T1-like phages","isometric head (64.90 ± 2.04 nm) and a non-contractile tail (145 ± 8.5 nm)","Siphoviridae family, Caudovirales order","lytic","Ganga river, near Barrackpore, North 24 Parganas district and Sreerampore, Hoogly district, West Bengal, India","environmental water samples","Shigella sonnei","Shigella sonnei 1","clear distinct plaques ranging from 1.3 to 1.9 mm in diameter with well-defined boundaries","0.1","10 min","101 PFU/cell","37°C","7.0"
"10.3389/fmicb.2023.1240570","Sfin-6","MN393473","50,523 bp","48.30%","T1-like phages","isometric head (62.42 ± 4.04 nm) and a non-contractile tail (148.47 ± 14.5 nm)","Siphoviridae","Lytic","Ganga river, near Barrackpore, North 24 Parganas district and Sreerampore, Hoogly district, West Bengal, India","environmental water samples","Shigella flexneri","Shigella flexneri 2a","clear distinct plaques, size ranging from 1.3 to 1.9 mm in diameter","0.1","~5 min","71 PFU/cell","37°C","7.0"
"10.3389/fmicb.2023.1240570","Sfin-6","MN393473","50,523 bp","48.30%","T1-like phages","isometric head (62.42 ± 4.04 nm) and a non-contractile tail (148.47 ± 14.5 nm)","Siphoviridae","Lytic","Ganga river, near Barrackpore, North 24 Parganas district and Sreerampore, Hoogly district, West Bengal, India","environmental water samples","Shigella dysenteriae","Shigella dysenteriae 1","clear distinct plaques, size ranging from 1.3 to 1.9 mm in diameter","0.1","~13 min","163 PFU/cell","37°C","7.0"
"10.3389/fmicb.2023.1240570","Sfin-6","MN393473","50,523 bp","48.30%","T1-like phages","isometric head (62.42 ± 4.04 nm) and a non-contractile tail (148.47 ± 14.5 nm)","Siphoviridae","Lytic","Ganga river, near Barrackpore, North 24 Parganas district and Sreerampore, Hoogly district, West Bengal, India","environmental water samples","Shigella sonnei","Shigella sonnei 1","clear distinct plaques, size ranging from 1.3 to 1.9 mm in diameter","0.1","~13 min","265 PFU/cell","37°C","7.0"
"10.1128/spectrum.01994-22","Klebsiella phage PG14","OM964875","49,853 bp","50.8%","Siphoviridae","Icosahedral head (82 ± 5 nm x 67 ± 3 nm), tail (133 ± 10 nm x 18 ± 2 nm) with tail fibers","Order: Caudovirales, Family: Siphoviridae","Lytic","Mutha River, Pune, Maharashtra, India","Water samples","Klebsiella pneumoniae","K. pneumoniae G14","clear circular plaques surrounded by a turbid halo zone","Not reported (tested at 0.1, 1, 10, 100)","20","47","<30°C","6-8"
"10.1089/phage.2024.0014","P2","OP797796","42,660","58.8%","podovirus","icosahedral head of diameter 54.4 ± 1.5 nm and short tail of length 10.4 ± 1.1 nm","genus Ahphunavirus, family Autographiviridae","lytic","Mumbai, India","sewage water","Aeromonas hydrophila","A. hydrophila CECT 839T","clear plaques","0.01","90","34 ± 7 PFU/cell","40°C","6 to 10"
"10.1089/phage.2024.0014","vB_AhydM-H1","OR795024","52,614","51.8%","myovirus","icosahedral head (61.1 ± 2.3 nm) with a contractile tail (133.3 ± 2.7 nm) and tail fibers","genus Pahsextavirus, family Chaseviridae","lytic","Pune, India","sewage water","Aeromonas hydrophila","A. hydrophila A331","clear plaques","0.01","120","179 ± 12 PFU/cell","40°C","6 to 10"
"10.3390/v16111741","Vibrio phage 4141","OR233736.1","38,498","43%","Podoviridae","icosahedral head, length 62.40 ± 1.4 nm, width 70.84 ± 3.0 nm","Autographiviridae","lytic","Kolkata, West Bengal","clinical stool sample","Vibrio cholerae","V. cholerae O1 El-Tor strain N16961","clear and round-shaped","0.001","15","142 ± 5","37","7"
"10.3390/v16111741","Vibrio phage MJW","OR248150.1","49,880","42.5%","Podoviridae","head length 62.8 ± 2.30 nm, width 63.48 ± 2.26 nm","Zobellviridae","lytic","Majhdia, Nadia, West Bengal","environmental sewage sample","Vibrio cholerae","V. cholerae O1 El-Tor strain N16961","clear and round-shaped","0.001","12","137 ± 9","37","7"
"10.1038/s41598-025-92032-6","RuSa1","OQ434248","141,098 bp","30.18%","Staphylococcus phage Stab20, myoviruses","icosahedral head of diameter 70–80 nm, contractile tail (160–165 nm), terminal base plate (18–20 nm)","Genus Kayvirus, Subfamily Twortvirinae, Family Herelleviridae","lytic","Pilikula Biological Park, Mangalore, Karnataka, India","Wastewater samples derived from a spotted sambar deer (Rusa unicolor) enclosure","Staphylococcus aureus","Staphylococcus aureus ATCC BAA-44","uniform PFU (1 mm)","1 and 0.1","10 min","50 PFU per cell","4–37 °C","5–9"
"10.1128/spectrum.03979-25","Escherichia phage vB_EcoM_fRPOT1","BioProject: PRJNA1098433, GenBank: PQ724394","170,501","39.55%","Myovirus","Head size: 75.46 ± 1.83 nm, Tail length: 117.42 ± 2.26 nm","Family: Straboviridae, Genus: Dhakavirus","Lytic","Rajasthan, India","Poultry fecal sample","Escherichia coli","Escherichia coli O135","Clear plaque with diameter of 0.37 ± 0.03 mm","10","20","62.95 ± 17.42 phages/cell","Stable up to 55°C","3–11"
